sample_index,split,scenario_id,source_path,first_agent_id,second_agent_id,first_agent_type,second_agent_type,is_original_ooi_pair,event_mode,primary_step_first,primary_step_second,interval_start_first,interval_end_first,interval_start_second,interval_end_second,zone_pet_steps,zone_pet_s,center_pet_steps,center_pet_s,min_clearance_m,num_contact_components,primary_component_cells,relevance_score,valid_steps_first,valid_steps_second,first_length_m,first_width_m,second_length_m,second_width_m,shard,shard_row,heading_diff_deg,mean_event_speed_mps,max_speed_drop_mps,max_yaw_change_deg,relative_lateral_change_m,partial_valid,valid_fraction,interval_length_steps,types,audit_category,selection_role,figure
84241,train,75c6882cac155b4a,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/75c6882cac155b4a_focus_678_src0.npz,679,678,1,1,True,obb_contact_interval,5.0,23.0,0.0,41.5,17.5,90.0,17.0,1.7000000000000002,18.0,1.8,0.0,1,1131,0.8516705072294409,91,91,4.645283222198486,2.028027057647705,4.643612861633301,2.062103509902954,train_samples_00016.npz,4241,0.8810807425533048,7.373164653778076,2.3741531372070312,1.4968358498865886,0.0,False,1.0,72.5,"(1, 1)",following,ooi_typical,following/01_ooi_typical_train_idx084241_75c6882cac155b4a.png
56881,train,b871f9efbe4fb80a,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/b871f9efbe4fb80a_focus_1814_src7.npz,1538,1814,1,1,False,obb_contact_interval,34.0,52.0,0.0,64.5,21.5,90.0,17.0,1.7000000000000002,18.0,1.8,0.0,1,932,0.8516705072294409,91,91,4.642490863800049,2.1546716690063477,5.285999774932861,2.3320000171661377,train_samples_00011.npz,1881,0.5861121930571341,7.974774122238159,0.8649845123291016,0.9671821072304856,0.10972538590431213,False,1.0,68.5,"(1, 1)",following,mined_typical,following/02_mined_typical_train_idx056881_b871f9efbe4fb80a.png
2110,train,100cb9983b7799e8,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/100cb9983b7799e8_focus_459_src2.npz,46,459,1,1,False,obb_contact_interval,76.0,76.0,0.0,90.0,75.5,90.0,0.0,0.0,0.0,0.0,0.7551897764205933,1,1365,1.0,91,91,4.909055709838867,2.2169747352600098,5.285999774932861,2.3320000171661377,train_samples_00000.npz,2110,1.1013952176995303,3.4997878074645996,0.6895661354064941,0.36623463657437794,0.35407209396362305,False,1.0,90.0,"(1, 1)",following,low_pet,following/03_low_pet_train_idx002110_100cb9983b7799e8.png
71070,train,116205920d1a539a,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/116205920d1a539a_focus_684_src1.npz,684,1770,1,1,False,obb_contact_interval,38.0,76.0,0.0,48.5,50.5,90.0,37.0,3.7,38.0,3.8000000000000003,0.0,1,916,0.46740668448561884,91,91,4.51704740524292,2.057112693786621,5.285999774932861,2.3320000171661377,train_samples_00014.npz,1070,0.6650691798624816,3.5533969402313232,7.329450607299805,0.8027931142866187,0.07708263397216797,False,1.0,48.5,"(1, 1)",following,high_pet,following/04_high_pet_train_idx071070_116205920d1a539a.png
6252,train,1071900ad4e4dc7b,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/1071900ad4e4dc7b_focus_2431_src3.npz,2431,2422,1,1,False,path_intersection,22.875123620033264,33.34623399376869,0.0,87.5,5.5,90.0,2.0,0.2,10.471110373735428,1.0471110373735428,0.0,1,868,0.9977802450856065,91,91,4.790813446044922,2.0763962268829346,4.806188106536865,2.2263314723968506,train_samples_00001.npz,1252,1.3989866665586916,10.266003608703613,0.19849300384521484,4.21551079346183,1.049670696258545,False,1.0,87.5,"(1, 1)",following,long_interval,following/05_long_interval_train_idx006252_1071900ad4e4dc7b.png
83827,train,a85ebb95d97c26b1,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/a85ebb95d97c26b1_focus_732_src7.npz,730,732,1,1,False,obb_contact_interval,72.0,72.0,68.5,90.0,39.5,90.0,0.0,0.0,0.0,0.0,0.7024037837982178,2,1122,1.0,85,86,14.396485328674316,3.0038986206054688,4.569313049316406,2.0562803745269775,train_samples_00016.npz,3827,0.6907780118984096,0.17234963178634644,88.1908187866211,2.134598040169065,0.34601259231567383,True,0.9395604395604396,50.5,"(1, 1)",following,partial_or_strong_response,following/06_partial_or_strong_response_train_idx083827_a85ebb95d97c26b1.png
49615,train,38016a65cfb001ef,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/38016a65cfb001ef_focus_391_src0.npz,401,391,1,1,True,path_intersection,64.33448874950409,86.81678313016891,29.5,75.5,54.5,90.0,14.0,1.4000000000000001,22.482294380664825,2.2482294380664825,0.0,1,546,0.8968300597468688,91,91,4.595411777496338,2.014522075653076,4.507750511169434,2.0241940021514893,train_samples_00009.npz,4615,5.964285534682038,7.672722101211548,0.648435115814209,20.156079486004387,6.26545524597168,False,1.0,46.0,"(1, 1)",merge_cut_in,ooi_typical,merge_cut_in/07_ooi_typical_train_idx049615_38016a65cfb001ef.png
83196,train,98758188ca582439,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/98758188ca582439_focus_1687_src1.npz,1686,1687,1,1,False,path_intersection,40.93453109264374,88.54590862989426,12.5,50.5,43.5,90.0,20.0,2.0,47.61137753725052,4.761137753725052,0.0,1,787,0.8007374029168081,91,91,4.667393207550049,2.1135993003845215,4.91896915435791,2.157179355621338,train_samples_00016.npz,3196,4.16724867678652,6.568319082260132,0.6832365989685059,12.188201073868246,0.614126443862915,False,1.0,46.5,"(1, 1)",merge_cut_in,mined_typical,merge_cut_in/08_mined_typical_train_idx083196_98758188ca582439.png
26992,train,103807d800322352,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/103807d800322352_focus_1054_src0.npz,1054,1081,1,1,True,obb_contact_interval,60.0,62.0,46.5,83.5,51.5,90.0,1.0,0.1,2.0,0.2,0.0,1,319,0.9994445987368582,91,91,4.948400974273682,2.156960964202881,4.917768955230713,2.078054666519165,train_samples_00005.npz,1992,3.7198986069073645,12.47304391860962,4.6902875900268555,2.7107244966596404,2.42984676361084,False,1.0,38.5,"(1, 1)",merge_cut_in,low_pet,merge_cut_in/09_low_pet_train_idx026992_103807d800322352.png
57692,train,12545c17a59c465e,/p/yufeng/tri30/dreamer4/data/waymo_vector_dataset_ooi_centered_50k/train/12545c17a59c465e_focus_1115_src2.npz,1066,1115,1,1,False,path_intersection,5.89749675989151,74.20664060115814,0.0,17.5,56.5,90.0,54.0,5.4,68.30914384126663,6.830914384126664,0.0,1,222,0.19789869908361465,27,91,4.797720909118652,2.156397581100464,4.531520843505859,2.0515005588531494,train_samples_00011.npz,2692,17.99854567060242,11.147976398468018,0.3929939270019531,71.10274737307464,0.5554027557373047,True,0.6483516483516484,33.5,"(1, 1)",merge_cut_in,high_pet,merge_cut_in/10_high_pet_train_idx057692_12545c17a59c465e.png
