audit_order,anchor_index,neighbor_index,rank,rms_distance,common_valid_fraction,anchor_scenario_id,neighbor_scenario_id,anchor_event_mode,neighbor_event_mode,anchor_zone_pet_s,neighbor_zone_pet_s
0,6042,8090,1,0.05164795741438866,0.9833333492279053,9691571bad64586c,6a057b3d4f48612b,obb_contact_interval,obb_contact_interval,0.0,0.0
1,7097,34,1,0.08399321883916855,0.800000011920929,48d41c23ce4b93e7,d0384c1f7462b31a,path_intersection,path_intersection,1.7000000476837158,1.100000023841858
2,5688,6213,1,0.10172877460718155,0.9833333492279053,6a89e4f5f4ba790b,aad2696a129b6b5c,obb_contact_interval,obb_contact_interval,0.30000001192092896,0.4000000059604645
3,2267,6571,1,0.12256603688001633,0.9833333492279053,a6efdb9c17a8fd01,26b90ef3814cd5c3,path_intersection,path_intersection,1.600000023841858,0.9000000357627869
4,7229,7502,1,0.14331716299057007,0.8500000238418579,1d526db5adba7138,15d005c829879b73,obb_contact_interval,obb_contact_interval,2.4000000953674316,2.5
5,8266,8259,1,0.17102907598018646,1.0,7e1f18feff4948ff,a98aa2f6849e282e,obb_contact_interval,obb_contact_interval,0.0,0.0
6,5546,7748,1,0.20424337685108185,1.0,8173199644f6738d,c0c5ab6810870c79,obb_contact_interval,obb_contact_interval,0.9000000357627869,0.9000000357627869
7,838,8128,1,0.2440837174654007,0.9333333373069763,bbef99ed45319474,7396629843a9c5f4,path_intersection,obb_contact_interval,4.800000190734863,5.0
8,8500,8813,1,0.2928048372268677,1.0,1e286e004fb26e5,4a4b34aaa56aac82,path_intersection,path_intersection,2.5,3.0
9,7007,8663,1,0.3591059148311615,0.8500000238418579,6c7dab98910c5018,2896a72f90c9bf42,obb_contact_interval,obb_contact_interval,1.0,0.800000011920929
10,8141,7004,1,0.46122974157333374,0.8500000238418579,857935ef782b5c0f,6c7dab98910c5018,path_intersection,path_intersection,4.400000095367432,4.700000286102295
11,8774,2521,1,0.7998759150505066,0.8666666746139526,ad35da24050c4897,1c2008a5a60f264c,obb_contact_interval,obb_contact_interval,0.0,0.0
