anchor_index,role,rank,sample_index,distance,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,lead_time_s,relation,response,focus_type,candidate_type,delta_arrival_time_s,pet_s,spatial_min_dist_m,figure
17736,anchor,0,17736,,e45cc1cbd98e64ab,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/e45cc1cbd98e64ab_focus_704_src1.npz,704,712,1,69,49,20,2.0,other_leads_focus,decelerates,vehicle,vehicle,1.7999999523162842,1.7999999523162842,0.3783746063709259,anchor_17736_other_leads_focus_decelerates_lead20/anchor/anchor_00_idx17736.png
17736,positive,1,12021,15.287452697753906,a3134cc48c28c0dc,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/a3134cc48c28c0dc_focus_611_src2.npz,611,610,1,46,26,20,2.0,other_leads_focus,decelerates,vehicle,vehicle,1.7999999523162842,1.7999999523162842,0.11102023720741272,anchor_17736_other_leads_focus_decelerates_lead20/positive/positive_01_idx12021_d15.29.png
17736,positive,2,5889,15.561657905578613,5529caa26e735ef6,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/5529caa26e735ef6_focus_467_src3.npz,467,462,1,73,53,20,2.0,other_leads_focus,decelerates,vehicle,vehicle,1.2999999523162842,1.2999999523162842,0.07479974627494812,anchor_17736_other_leads_focus_decelerates_lead20/positive/positive_02_idx05889_d15.56.png
17736,hard_negative,1,13261,14.191343307495117,b2331f70e72cdbf1,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/b2331f70e72cdbf1_focus_2597_src3.npz,2597,3138,8,78,58,20,2.0,other_leads_focus,maintains,vehicle,vehicle,1.0,1.0,0.8453972339630127,anchor_17736_other_leads_focus_decelerates_lead20/hard_negative/hard_negative_01_idx13261_d14.19.png
17736,hard_negative,2,16401,15.126198768615723,d497637c42593b58,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/d497637c42593b58_focus_1368_src1.npz,1368,2243,16,77,57,20,2.0,other_leads_focus,maintains,vehicle,vehicle,1.2999999523162842,1.2999999523162842,3.3324177265167236,anchor_17736_other_leads_focus_decelerates_lead20/hard_negative/hard_negative_02_idx16401_d15.13.png
17736,hard_negative,3,12972,15.198702812194824,ade62fe9661c7dec,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/ade62fe9661c7dec_focus_2958_src6.npz,2958,398,15,59,39,20,2.0,other_leads_focus,maintains,vehicle,vehicle,1.7000000476837158,1.7000000476837158,0.03835578262805939,anchor_17736_other_leads_focus_decelerates_lead20/hard_negative/hard_negative_03_idx12972_d15.20.png
17736,hard_negative,4,10485,15.398262977600098,9149a771e7b44391,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/9149a771e7b44391_focus_8_src2.npz,8,55,1,75,55,20,2.0,other_leads_focus,maintains,vehicle,vehicle,1.5,1.5,1.4102212190628052,anchor_17736_other_leads_focus_decelerates_lead20/hard_negative/hard_negative_04_idx10485_d15.40.png
17736,easy_negative,1,2912,44.141536712646484,333cff4c66d997da,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/333cff4c66d997da_focus_364_src7.npz,364,363,2,76,56,20,2.0,other_follows_focus,decelerates,cyclist,cyclist,-1.0,1.0,0.04567409306764603,anchor_17736_other_leads_focus_decelerates_lead20/easy_negative/easy_negative_01_idx02912_d44.14.png
17736,easy_negative,2,1275,67.20384216308594,1d8ffbfe86682334,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1d8ffbfe86682334_focus_1008_src2.npz,1008,889,1,53,33,20,2.0,converging_conflict,goes_first,vehicle,vehicle,-2.9000000953674316,2.9000000953674316,0.27208489179611206,anchor_17736_other_leads_focus_decelerates_lead20/easy_negative/easy_negative_02_idx01275_d67.20.png
17736,easy_negative,3,9435,21.622190475463867,829e5f7848087c89,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/829e5f7848087c89_focus_10_src1.npz,10,25,4,60,40,20,2.0,other_follows_focus,decelerates,vehicle,vehicle,0.0,3.799999952316284,4.137726306915283,anchor_17736_other_leads_focus_decelerates_lead20/easy_negative/easy_negative_03_idx09435_d21.62.png
17736,easy_negative,4,7067,74.6456069946289,626eece0f9828dcb,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/626eece0f9828dcb_focus_502_src1.npz,502,1192,1,42,22,20,2.0,converging_conflict,goes_first,vehicle,vehicle,-2.700000047683716,2.700000047683716,0.2382814735174179,anchor_17736_other_leads_focus_decelerates_lead20/easy_negative/easy_negative_04_idx07067_d74.65.png
