anchor_index,role,rank,sample_index,distance,scenario_id,source_path,focus_agent_id,candidate_agent_id,candidate_index,event_step,query_step,lead_steps,lead_time_s,relation,response,focus_type,candidate_type,delta_arrival_time_s,pet_s,spatial_min_dist_m,figure
3594,anchor,0,3594,,3a0a140d4ed59d60,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/3a0a140d4ed59d60_focus_1342_src2.npz,1342,3666,1,67,57,10,1.0,converging_conflict,goes_first,vehicle,vehicle,-2.200000047683716,2.200000047683716,0.46051737666130066,anchor_03594_converging_conflict_goes_first_lead10/anchor/anchor_00_idx03594.png
3594,positive,1,19900,8.999728202819824,ff7955a8fdf9c247,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/ff7955a8fdf9c247_focus_2779_src0.npz,2779,4101,1,62,52,10,1.0,converging_conflict,goes_first,vehicle,vehicle,-2.5999999046325684,2.5999999046325684,0.12335570901632309,anchor_03594_converging_conflict_goes_first_lead10/positive/positive_01_idx19900_d9.00.png
3594,positive,2,2142,14.072176933288574,28e2f6c71259a23f,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/28e2f6c71259a23f_focus_1608_src0.npz,1608,2083,6,36,26,10,1.0,converging_conflict,goes_first,vehicle,vehicle,-1.600000023841858,1.600000023841858,0.2315010279417038,anchor_03594_converging_conflict_goes_first_lead10/positive/positive_02_idx02142_d14.07.png
3594,hard_negative,1,10667,17.038299560546875,9342c4e1d7acc3f4,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/9342c4e1d7acc3f4_focus_1575_src1.npz,1575,2130,1,75,65,10,1.0,converging_conflict,yields,vehicle,vehicle,1.5,1.5,0.40346670150756836,anchor_03594_converging_conflict_goes_first_lead10/hard_negative/hard_negative_01_idx10667_d17.04.png
3594,hard_negative,2,1309,17.36404800415039,1dd53a51e63e15c6,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/1dd53a51e63e15c6_focus_969_src1.npz,969,2584,15,64,54,10,1.0,converging_conflict,yields,vehicle,vehicle,2.5,2.5,0.17263200879096985,anchor_03594_converging_conflict_goes_first_lead10/hard_negative/hard_negative_02_idx01309_d17.36.png
3594,hard_negative,3,8565,17.56012535095215,75f476dcce534551,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/75f476dcce534551_focus_587_src0.npz,587,1076,8,33,23,10,1.0,converging_conflict,yields,vehicle,vehicle,1.399999976158142,1.399999976158142,3.1375765800476074,anchor_03594_converging_conflict_goes_first_lead10/hard_negative/hard_negative_03_idx08565_d17.56.png
3594,easy_negative,1,13171,58.286376953125,b117a0659afe4cad,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/b117a0659afe4cad_focus_2618_src2.npz,2618,8391,1,53,43,10,1.0,crossing_or_oncoming_conflict,goes_first,vehicle,pedestrian,-1.600000023841858,1.600000023841858,0.18492814898490906,anchor_03594_converging_conflict_goes_first_lead10/easy_negative/easy_negative_01_idx13171_d58.29.png
3594,easy_negative,2,5597,19.458009719848633,5236a88122c57351,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/5236a88122c57351_focus_1208_src2.npz,1208,1196,1,50,40,10,1.0,other_leads_focus,maintains,vehicle,vehicle,2.4000000953674316,2.4000000953674316,0.034636240452528,anchor_03594_converging_conflict_goes_first_lead10/easy_negative/easy_negative_02_idx05597_d19.46.png
3594,easy_negative,3,18664,18.256010055541992,f06fad08719f5843,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/f06fad08719f5843_focus_2038_src0.npz,2038,2046,16,62,52,10,1.0,other_leads_focus,maintains,vehicle,vehicle,0.0,7.900000095367432,9.365947723388672,anchor_03594_converging_conflict_goes_first_lead10/easy_negative/easy_negative_03_idx18664_d18.26.png
3594,easy_negative,4,663,17.95781707763672,17bdbd8d3278a223,/p/yufeng/tri30/dreamer4/waymo/data/waymo_vector_dataset_ooi_centered_training_all/train/17bdbd8d3278a223_focus_432_src0.npz,432,439,18,59,49,10,1.0,other_leads_focus,maintains,vehicle,vehicle,0.0,5.800000190734863,3.874309778213501,anchor_03594_converging_conflict_goes_first_lead10/easy_negative/easy_negative_04_idx00663_d17.96.png
